Laureate ID,Laureate name,Prize year,Title,Pub year,Paper ID,DOI,Journal,Affiliation,Is prize-winning paper,field,p-value,Gender,citation_count
10057,"perl, ml",1995,upper limit on b0b0 mixing in e e annihilation at 29 gev,1985.0,1975022186.0,10.1016/0370-2693(85)91490-X,physics letters b,ben gurion university of the negev,NO,Physics,0.054140127388535,male,48.0
10057,"perl, ml",1995,b0meson decays to0k 0 f0k 0 and k including higherk resonances,2012.0,2765267367.0,10.1103/PhysRevD.85.072005,physical review d,ben gurion university of the negev,NO,Physics,0.054140127388535,male,13.0
10057,"perl, ml",1995,measurement of the directcpasymmetry inb sdecays,2004.0,2781568353.0,10.1103/PhysRevLett.93.021804,physical review letters,ben gurion university of the negev,NO,Physics,0.054140127388535,male,25.0
10057,"perl, ml",1995,tau decays into three charged leptons and two neutrinos,1996.0,1975484825.0,10.1103/PhysRevLett.76.2637,physical review letters,ben gurion university of the negev,NO,Physics,0.054140127388535,male,15.0
10057,"perl, ml",1995,measurement of the pseudoscalar decay constantfdsusing charm tagged events ine e collisions ats 10 58gev,2007.0,2598530783.0,10.1103/PhysRevLett.98.141801,physical review letters,ben gurion university of the negev,NO,Physics,0.054140127388535,male,39.0
10057,"perl, ml",1995,search forb0meson decays to0ks0ks0 ks0ks0 and ks0ks0,2009.0,2314472464.0,10.1103/PhysRevD.80.011101,physical review d,ben gurion university of the negev,NO,Physics,0.054140127388535,male,5.0
10057,"perl, ml",1995,measurement of cp observables in b dcpk decays and constraints on the ckm angle gamma,2010.0,2254404088.0,10.1103/PhysRevD.82.072004,physical review d,ben gurion university of the negev,NO,Physics,0.054140127388535,male,31.0
10057,"perl, ml",1995,pion pair production from  collisions at the slac e e storage ring pep,1984.0,2395914797.0,10.1103/PhysRevD.30.851,physical review d,ben gurion university of the negev,NO,Physics,0.054140127388535,male,14.0
10057,"perl, ml",1995,study of inclusiveb andb 0decays to flavor taggedd ds andc,2007.0,2314558701.0,10.1103/PhysRevD.75.072002,physical review d,ben gurion university of the negev,NO,Physics,0.054140127388535,male,10.0
10057,"perl, ml",1995,search for d0 d0 mixing using doubly flavor tagged semileptonic decay modes,2007.0,2103370581.0,10.1103/PhysRevD.76.014018,physical review d,ben gurion university of the negev,NO,Physics,0.054140127388535,male,29.0
