Laureate name,p-value,Gender
"bohr, n",0.1,male
"einstein, a",0.031055900621118012,male
charles edouard guillaume,0.05555555555555555,male
"stark, j",0.19047619047619047,male
"planck, m",0.3333333333333333,male
"barkla, cg",0.25,male
"bragg, wl",0.3333333333333333,male
"bragg, wh",1.0,male
"laue, m",1.0,male
"onnes, hk",1.0,male
"wien, w",1.0,male
albert a. michelson,0.109375,male
joseph john thomson,0.3333333333333333,male
"lenard, p",0.25,male
"zeeman, p",0.2,male
